id,label
9733,0.1649676
63,0.87119555
6400,0.9605487
823,0.99999964
4217,0.7744013
3578,0.83640605
10321,0.9994286
2666,0.83249605
5109,0.4272353
11981,0.39346826
10447,0.22332579
2100,0.10008026
11759,0.9778049
4571,0.82323134
7078,0.688179
12250,0.65718967
1409,0.6329153
9055,0.46453848
6366,0.47356617
12244,0.42869914
189,0.18357053
9041,0.1832941
6372,0.4622499
11995,0.5671828
10453,0.30742955
2114,0.9677223
4565,0.16254252
4203,0.84793764
10335,0.95591486
2672,0.12102903
9727,0.6182461
6414,0.6046925
77,0.9742774
8439,0.9932053
837,0.94264084
2882,0.88483834
3544,0.9999707
11003,0.79597086
5135,0.9078559
1353,0.99959964
7722,0.693064
8411,0.9888636
7044,0.425595
8377,0.15907829
1435,0.9592462
9069,0.4577899
5653,0.7491241
3222,0.50213253
11765,0.6973545
5647,0.112264186
2128,0.037447736
3236,0.14760429
11771,0.19799156
4559,0.9316281
7050,0.2522448
8363,0.6497921
12278,0.8457594
1421,0.99836785
6428,0.4372789
1347,0.5538978
7736,0.89057684
8405,0.214612
2896,0.056922685
3550,0.7659877
11017,0.6650366
10309,0.39493912
5121,0.9863688
9928,0.45613027
638,0.08213729
7905,0.4154244
9096,0.11191724
8388,0.9705701
12293,0.67197984
5874,0.6490465
11942,0.09230254
10484,0.9963987
5860,0.992292
11956,0.9880229
10490,0.67684466
9082,0.40618438
12287,0.9889309
7911,0.9998646
2869,0.70783573
9914,0.46118852
7939,0.65524155
1390,0.22040474
604,0.6896766
2699,0.11951487
2841,0.5018115
3587,0.99921167
5848,0.9112195
5690,0.5553446
162,0.20230934
6399,0.9207451
7087,0.26739198
176,0.9999633
7093,0.9396098
5684,0.84490687
2855,0.9983625
3593,0.7670102
9900,0.18356651
88,0.18289791
610,0.60330546
1384,0.9819115
6164,0.122621074
9257,0.4576005
12052,0.986764
8149,0.07563003
4773,0.9723609
2302,0.5050047
10645,0.99999475
2464,0.36699834
10123,0.9691565
4015,0.052490786
6602,0.9138667
9531,0.7390317
7508,0.5408502
1179,0.9274507
6616,0.15166605
9525,0.11069916
2470,0.51259905
10137,0.8219549
11229,0.6624059
4001,0.13602878
10889,0.7345825
4767,0.9999689
3008,0.15764305
2316,0.9552381
10651,0.9972366
5479,0.9023123
6170,0.6923277
9243,0.23560096
12046,0.74523336
11567,0.99867165
3020,0.5584722
4997,0.10153479
10679,0.31347227
5451,0.45997185
6158,0.79312176
1637,0.9646956
8175,0.33233148
7246,0.91123676
8613,0.9991104
7520,0.9999393
1151,0.978228
5337,0.8035436
2458,0.7349028
11201,0.9999999
3746,0.043248706
4029,0.50941813
5323,0.4955092
11215,0.45901427
3752,0.2803934
8607,0.55714273
7534,0.96664065
1145,0.9854189
9519,0.42927918
1623,0.27059817
8161,0.19032274
7252,0.9999993
11573,0.10907868
3034,0.5745999
4983,0.86976486
5445,0.5060619
10686,0.57721776
4968,0.78420836
11598,0.80156326
12091,0.528255
1810,0.93836975
9294,0.6850334
8834,0.5921926
6819,0.8474998
3961,0.99944204
3975,0.9358112
